group,label,value,profile,n,peak_attachment_force_N_per_m_mean,peak_attachment_force_N_per_m_min,peak_attachment_force_N_per_m_max,peak_tip_force_N_per_m_mean,peak_tip_force_N_per_m_min,peak_tip_force_N_per_m_max,peak_tension_N_per_m_mean,peak_tension_N_per_m_min,peak_tension_N_per_m_max,max_panel_curvature_ratio_mean,max_panel_curvature_ratio_min,max_panel_curvature_ratio_max,KE_at_deploy_end_J_per_m_mean,KE_at_deploy_end_J_per_m_min,KE_at_deploy_end_J_per_m_max,final_tip_force_N_per_m_mean,final_tip_force_N_per_m_min,final_tip_force_N_per_m_max
Tip attachment stiffness,1e+06,1.0e6,smooth,3,494.1498551177547,479.49725830512966,502.9166369301367,490.22835597495714,467.7327608767369,502.9166369301367,494.0237027616895,479.2930012957533,502.7910086784764,3.297436279008679,3.292402167633711,3.302444843269233,2.3654028404902863,1.2307596718166358,3.731243481308633,286.227290435111,220.14591012248772,340.15544629157176
Tip attachment stiffness,1e+06,1.0e6,constant_then_stop,3,278.524410964393,269.00285961594585,285.85914695755434,271.3460349766092,253.75743773117432,280.7112263196787,278.4298568823274,268.8658588600089,285.72690437870983,3.2501519813092954,3.2212784863452457,3.278174242636225,1.3862852066693983,1.1132968378205397,1.6168828543289757,130.9287500115555,114.79124393401516,161.57998132233251
Environment,orbit,1.0,smooth,3,431.8083118081331,414.1260104260718,443.41171406438303,431.8083118081331,414.1260104260718,443.41171406438303,431.6466619764519,414.042190319113,443.1659903149004,3.2974939003297514,3.2924618537479247,3.302500318168952,3.2032135987992554,1.7387906483791384,4.510653499521229,187.75555036646628,85.84266745491395,297.5042776472886
Environment,orbit,1.0,constant_then_stop,3,253.00361921684112,238.8842660673452,260.4829445755306,245.55239458461384,237.28997311096566,260.4829445755306,252.85409701384867,238.7520188127631,260.36504871245694,3.250191034889499,3.22131728916195,3.2782135037419327,1.2798446195736803,0.9560148978621381,1.536082369773704,166.41740799606728,127.090416417587,220.36753669285716
Environment,drag only,2.0,smooth,3,75.98109281241896,71.23023136149982,80.96634710395679,75.98109281241896,71.23023136149982,80.96634710395679,75.9764871309658,71.2261723267739,80.96343356190204,2.213846563050107,2.213425845806154,2.2141037220357553,0.12936303722907347,0.10858036073868683,0.14072970693937076,24.003871854991516,18.40959925891581,34.642029462976566
Environment,drag only,2.0,constant_then_stop,3,141.0927338199699,137.0508863795301,143.13586447919272,134.14920668080023,131.63698940894116,136.9397874465392,141.0681459220967,137.0357371256213,143.11026503946408,2.0586322553579275,2.0364724578212696,2.0803267295502748,0.549011632881729,0.48295732935550545,0.5883333475819327,28.74730440183337,26.351422940947124,31.78014822232778
Environment,gravity only,3.0,smooth,3,173.668799338099,173.6544522396839,173.69026682572587,173.66876256644943,173.6544522396839,173.6901565107771,173.65500869067387,173.64066098436314,173.67647447625177,3.2937054742972975,3.293689591245216,3.2937219913606994,2.1162566424232658e-6,5.609892210944609e-7,3.8905418510301516e-6,173.62224181944228,173.59272977899855,173.63928693656348
Environment,gravity only,3.0,constant_then_stop,3,275.33794781277965,272.2219226657177,278.383550886765,275.3130891973182,272.1473468193335,278.383550886765,275.30344699190385,272.18705308104023,278.3486246403583,3.295206858033169,3.295072923159544,3.295345494787685,0.4218162256457563,0.39669549286414585,0.4468945768714355,118.81906400622519,113.56858749019084,124.22123700150054
Environment,ground (g + drag),4.0,smooth,3,173.64832771768434,173.64344685761108,173.65559340743823,173.6480595570431,173.6430281415831,173.65559340743823,173.63452498004463,173.62964433441783,173.64179016943504,3.2937053394268907,3.293689457221541,3.293721855561625,1.1769038473755033e-7,4.521951813461136e-8,1.9843611471787605e-7,173.6129138367046,173.607007172564,173.61672549518852
Environment,ground (g + drag),4.0,constant_then_stop,3,267.74735305895734,265.0782136558961,270.4342047508286,267.74735305895734,265.0782136558961,270.4342047508286,267.713778757969,265.0453829440292,270.39983202486957,3.295206226405854,3.2950723718258668,3.295344777339305,0.4084626115843999,0.3855418776083482,0.43190101153242144,180.03994614599148,177.74919712645053,182.26917412187314
